-,0,,,,,,,
_,0,,,,,,,
1,2,,q,w,,,,
2,1,3,w,e,q,,,
3,2,4,e,r,w,,,
4,3,5,r,t,e,,,
5,4,6,t,y,r,,,
6,5,7,y,u,t,,,
7,6,8,u,i,y,,,
8,7,9,i,o,u,,,
9,8,0,o,p,i,,,
0,9,-,p,_,o,,,
q,1,2,,w,,a,s,
w,2,3,q,e,a,s,d,
e,3,4,w,r,s,d,f,
r,4,5,e,t,d,f,g,
t,5,6,r,y,f,g,h,
y,6,7,t,u,g,h,j,
u,7,8,y,i,h,j,k,
i,8,9,u,o,j,k,l,
o,9,0,i,p,k,l,,
p,0,,o,,l,-,_,
a,,q,w,,s,,z,x
s,q,w,e,a,d,z,x,c
d,w,e,r,s,f,x,c,v
f,e,r,t,d,g,c,v,b
g,r,t,y,f,h,v,b,n
h,t,y,u,g,j,b,n,m
j,y,u,i,h,k,n,m,
k,u,i,o,j,l,m,,
l,i,o,p,k,,,,
z,,a,s,,x,,,
x,a,s,d,z,c,,,
c,s,d,f,x,v,,,
v,d,f,g,c,b,,,
b,f,g,h,v,n,,,
n,g,h,j,b,m,,,
m,h,j,k,n,,,,
