ß,0,p,ü,,,,,
1,2,,q,,,,,
2,1,q,w,3,,,,
3,2,w,e,4,,,,
4,3,e,r,5,,,,
5,4,r,t,6,,,,
6,5,t,z,7,,,,
7,6,z,u,8,,,,
8,7,u,i,9,,,,
9,8,i,o,0,,,,
0,9,o,p,ß,,,,
q,1,2,,w,,a,s,
w,2,3,q,e,a,s,d,
e,3,4,w,r,s,d,f,
r,4,5,e,t,d,f,g,
t,5,6,r,z,f,g,h,
z,6,7,t,u,g,h,j,
u,7,8,z,i,h,j,k,
i,8,9,u,o,j,k,l,
o,9,0,i,p,k,l,ö,
p,0,ß,o,ü,l,ö,ä,
ü,ß,,p,,ö,ä,,
a,,q,w,,s,,y,x
s,q,w,e,a,d,y,x,c
d,w,e,r,s,f,x,c,v
f,e,r,t,d,g,c,v,b
g,r,t,z,f,h,v,b,n
h,t,z,u,g,j,b,n,m
j,z,u,i,h,k,n,m,
k,u,i,o,j,l,m,,
l,i,o,p,k,ö,,,
ö,o,p,ü,l,ä,-,_,
ä,p,ü,,ö,-,_,,
y,,a,s,,x,,,
x,a,s,d,y,c,,,
c,s,d,f,x,v,,,
v,d,f,g,c,b,,,
b,f,g,h,v,n,,,
n,g,h,j,b,m,,,
m,h,j,k,n,,,,
-,_,ö,ä,,,,,
_,-,ä,ö,,,,,
